"","DNP","Plot","Rep","Depth","Trt","Label","RockWt","RootWt","Notes"
"95",95,4,"C",5,"NR","charcoal",NA,0.022,""
"96",96,4,"C",2.5,"NR",NA,NA,NA,NA
"97",97,4,"C",0,"NR",NA,NA,NA,NA
"98",98,5,"A",10,"DW","Bulk",NA,0.082,""
"99",99,5,"A",7.5,"DW","Bulk",NA,0.137,""
"100",100,5,"A",5,"DW","Bulk",NA,0.155,""
"101",101,5,"A",2.5,"DW","Bulk",NA,0.062,"saved rock and wood"
"102",102,5,"A",0,"DW","Bulk",NA,0.056,"saved rock and wood"
"103",103,5,"B",10,"DW","Bulk",0.768,0.044,""
"104",104,5,"B",7.5,"DW","Bulk",NA,0.11,""
"105",105,5,"B",5,"DW","Bulk",NA,0.307,""
"106",106,5,"B",2.5,"DW","Bulk",NA,1.479,""
"107",107,5,"B",0,"DW","Bulk",NA,1.587,""
"108",108,5,"C",10,"DW","Bulk",0.777,0.303,""
"109",109,5,"C",7.5,"DW","Bulk",1.921,0.03,""
"110",110,5,"C",5,"DW","Bulk",NA,0.063,""
"111",111,5,"C",2.5,"DW","Bulk",NA,0.129,""
"112",112,5,"C",0,"DW","Bulk",0.701,0.011,"Throw some woods inside."
"113",113,14,"A",10,"CTL","Bulk",0.189,0.179,""
"114",114,14,"A",7.5,"CTL","Bulk",NA,0.161,"Have root and wood. Weigh root."
"115",115,14,"A",5,"CTL","Bulk",NA,0.251,"saved wood+OM clumps"
"116",116,14,"A",2.5,"CTL","Bulk",NA,0.123,"saved wood+OM clumps"
"117",117,14,"A",0,"CTL","Bulk",NA,0.073,"saved wood+OM clumps"
"118",118,14,"C",10,"CTL","Bulk",NA,1.11,""
"119",119,14,"C",7.5,"CTL","Bulk",NA,0.017,""
"120",120,14,"C",5,"CTL","Bulk",NA,0.056,""
"121",121,14,"C",2.5,"CTL","Bulk",NA,0.187,""
"122",122,14,"C",0,"CTL","Bulk",0.582,0.2,""
"123",124,4,"A",10,"NR","Bulk",NA,0.191,""
"124",125,4,"A",7.5,"NR","Bulk",0.917,NA,"Bulk have no root"
"125",126,4,"A",5,"NR","Bulk",NA,0,"root weight cannot be detected by scale- too small"
"126",127,4,"A",2.5,"NR","Bulk",0.601,NA,""
"127",128,4,"A",0,"NR","Bulk",1.64,0.16,""
"128",129,69,"C",10,"NI",NA,NA,NA,NA
"129",130,69,"C",7.5,"NI","Bulk",NA,0.087,""
"130",131,69,"C",5,"NI",NA,NA,NA,NA
"131",132,69,"C",2.5,"NI",NA,NA,NA,NA
"132",133,69,"C",0,"NI",NA,NA,NA,NA
"133",134,4,"B",10,"NR","Bulk",0.192,0.124,""
"134",135,4,"B",7.5,"NR",NA,NA,NA,NA
"135",136,4,"B",5,"NR","Bulk",NA,0.058,""
"136",137,4,"B",2.5,"NR",NA,NA,NA,NA
"137",138,4,"B",0,"NR","Bulk",NA,0.008,""
"138",139,14,"B",10,"CTL","Bulk",6.283,0.017,""
"139",140,14,"B",7.5,"CTL","Bulk",2.478,0.078,""
"140",141,14,"B",5,"CTL","Bulk",4.881,0.101,"141 is the mix of rock, wood, & roots. Have separated them and weighed."
"141",142,14,"B",2.5,"CTL",NA,NA,NA,NA
