JAR,AMENDMENT,TRT,DAY,HOUR,X12C,X13C
134,OXALATE,NI,9,209,154.671,13.535
135,OXALATE,NI,9,209,154.552,12.705
142,PHENOL,NI,9,209,174.903,4.191
143,PHENOL,NI,9,209,163.814,4.056
144,PHENOL,NI,9,209,126.083,3.378
151,CELLULOSE,NR,9,209,224.934,1.729
152,CELLULOSE,NR,9,209,223.123,1.662
153,CELLULOSE,NR,9,209,199.47,1.342
169,OXALATE,NR,9,209,242.186,14.167
170,OXALATE,NR,9,209,285.684,14.978
171,OXALATE,NR,9,209,264.896,14.103
178,PHENOL,NR,9,209,222.435,3.578
179,PHENOL,NR,9,209,202.824,3.371
180,PHENOL,NR,9,209,194.256,3.258
7,CELLULOSE,CTL,10,232,215.29,0.844
8,CELLULOSE,CTL,10,232,262.763,0.864
9,CELLULOSE,CTL,10,232,209.369,0.614
25,OXALATE,CTL,10,232,254.255,14.986
26,OXALATE,CTL,10,232,262.631,12.398
27,OXALATE,CTL,10,232,241.769,11.306
34,PHENOL,CTL,10,232,252.856,3.412
35,PHENOL,CTL,10,232,219.013,3.41
36,PHENOL,CTL,10,232,267.773,3.655
43,CELLULOSE,DW,10,232,331.306,0.656
44,CELLULOSE,DW,10,232,271.86,0.957
45,CELLULOSE,DW,10,232,341.978,0.62
61,OXALATE,DW,10,232,359.462,14.29
62,OXALATE,DW,10,232,378.458,15.439
63,OXALATE,DW,10,232,380.223,13.3
70,PHENOL,DW,10,232,343.059,5.988
71,PHENOL,DW,10,232,388.998,5.795
72,PHENOL,DW,10,232,369.267,5.729
79,CELLULOSE,DL,10,232,,
80,CELLULOSE,DL,10,232,266.483,0.805
81,CELLULOSE,DL,10,232,297.32,1.078
97,OXALATE,DL,10,232,302.996,12.952
98,OXALATE,DL,10,232,,
99,OXALATE,DL,10,232,320.782,11.983
106,PHENOL,DL,10,232,324.515,4.061
107,PHENOL,DL,10,232,296.58,3.733
108,PHENOL,DL,10,232,293.274,3.783
115,CELLULOSE,NI,10,232,181.372,1.34
116,CELLULOSE,NI,10,232,171.921,1.426
117,CELLULOSE,NI,10,232,157.653,1.269
133,OXALATE,NI,10,232,177.344,14.383
134,OXALATE,NI,10,232,171.013,13.638
135,OXALATE,NI,10,232,169.037,12.798
142,PHENOL,NI,10,232,189.795,4.299
143,PHENOL,NI,10,232,178.329,4.171
144,PHENOL,NI,10,232,139.459,3.498
151,CELLULOSE,NR,10,232,244.971,2.043
152,CELLULOSE,NR,10,232,242.895,1.952
153,CELLULOSE,NR,10,232,218.32,1.607
169,OXALATE,NR,10,232,262.289,14.251
170,OXALATE,NR,10,232,308.377,15.062
171,OXALATE,NR,10,232,286.298,14.182
178,PHENOL,NR,10,232,239.719,3.669
179,PHENOL,NR,10,232,220.902,3.465
180,PHENOL,NR,10,232,212.436,3.357
7,CELLULOSE,CTL,11,259,237.5561093,0.97161614
8,CELLULOSE,CTL,11,259,288.6853066,0.975423303
9,CELLULOSE,CTL,11,259,233.7406077,0.714206275
25,OXALATE,CTL,11,259,276.6364528,15.03950599
26,OXALATE,CTL,11,259,286.9785996,12.44831671
27,OXALATE,CTL,11,259,263.741208,11.34858053
34,PHENOL,CTL,11,259,271.8350174,3.494155172
35,PHENOL,CTL,11,259,242.0850942,3.518827488
36,PHENOL,CTL,11,259,292.6256026,3.765303255
43,CELLULOSE,DW,11,259,364.899648,0.740525152
44,CELLULOSE,DW,11,259,301.716734,1.136109946
45,CELLULOSE,DW,11,259,377.8029921,0.712931019
61,OXALATE,DW,11,259,391.408232,14.34672854
62,OXALATE,DW,11,259,412.9018938,15.5044367
63,OXALATE,DW,11,259,415.6115294,13.36256539
70,PHENOL,DW,11,259,376.7586207,6.124976415
71,PHENOL,DW,11,259,426.546934,5.931637515
72,PHENOL,DW,11,259,405.6076893,5.862794401
79,CELLULOSE,DL,11,259,,
80,CELLULOSE,DL,11,259,295.0091284,0.957667863
81,CELLULOSE,DL,11,259,328.013252,1.300792518
97,OXALATE,DL,11,259,325.2138344,12.99782649
98,OXALATE,DL,11,259,,
99,OXALATE,DL,11,259,352.1313789,12.04427193
106,PHENOL,DL,11,259,355.4031119,4.18347696
107,PHENOL,DL,11,259,324.9874963,3.849973508
108,PHENOL,DL,11,259,323.3795313,3.899864263
115,CELLULOSE,NI,11,259,199.2262587,1.702748807
116,CELLULOSE,NI,11,259,190.0586539,1.835746919
